['11542', 'Yearly', '6939 days']
['13058', 'One-off', '11257 days']
['13053', 'Yearly', '11688 days']
['13051', 'Monthly', '1280 days']
['13057', 'One-off', '10179 days']
['54171', 'Daily', '9 days']
['54172', 'Daily', '29 days']
['54173', 'Yearly', '3288 days']
['54175', 'One-off', '11524 days']
['54176', 'Monthly', '823 days']
['20258', 'Daily', '28 days']
['20252', 'One-off', '12055 days']
['20257', 'Daily', '35 days']
['20254', 'One-off', '13185 days']
['40966', 'Monthly', '2223 days']
['40967', 'Monthly', '122 days']
['44424', 'Daily', '52 days']
['44422', 'Monthly', '730 days']
['44420', 'Monthly', '1461 days']
['29764', 'Daily', '22 days']
['29767', 'Daily', '10 days']
['44429', 'Monthly', '2313 days']
['44428', 'Daily', '9 days']
['23508', 'Yearly', '1826 days']
['23502', 'Daily', '50 days']
['29926', 'Yearly', '4748 days']
['27617', 'One-off', '12708 days']
['27616', 'Monthly', '2680 days']
['27613', 'One-off', '11999 days']
['27611', 'Yearly', '9862 days']
['12833', 'Monthly', '2404 days']
['12831', 'Daily', '53 days']
['12834', 'Daily', '21 days']
['8545', 'Daily', '46 days']
['8547', 'Monthly', '1948 days']
['8546', 'One-off', '17463 days']
['8543', 'Daily', '54 days']
['8542', 'One-off', '15580 days']
['50419', 'Yearly', '7305 days']
['50413', 'Monthly', '1218 days']
['50412', 'Yearly', '8401 days']
['50410', 'Daily', '40 days']
['50416', 'One-off', '13209 days']
['55629', 'Daily', '45 days']
['55628', 'One-off', '14761 days']
['55622', 'Yearly', '2556 days']
['55621', 'Yearly', '4383 days']
['55625', 'Yearly', '1096 days']
['55624', 'Yearly', '3652 days']
['52811', 'Daily', '4 days']
['52813', 'Yearly', '12419 days']
['52815', 'Monthly', '790 days']
['22678', 'Yearly', '1096 days']
['22679', 'Yearly', '3287 days']
['22677', 'One-off', '10697 days']
['22675', 'Monthly', '884 days']
['22672', 'Daily', '49 days']
['22673', 'Daily', '35 days']
['22670', 'One-off', '13480 days']
['26568', 'Monthly', '457 days']
['26567', 'Daily', '7 days']
['26564', 'Monthly', '334 days']
['26565', 'Monthly', '2465 days']
['26562', 'Daily', '39 days']
['26560', 'Daily', '52 days']
['8294', 'Daily', '34 days']
['15552', 'One-off', '16728 days']
['9337', 'Monthly', '1977 days']
['32224', 'Monthly', '334 days']
['32226', 'Yearly', '6574 days']
['32223', 'Monthly', '1399 days']
['3749', 'One-off', '15040 days']
['3746', 'Monthly', '882 days']
['3747', 'One-off', '10542 days']
['3744', 'Daily', '44 days']
['3745', 'Monthly', '1370 days']
['3743', 'Daily', '35 days']
['3740', 'Yearly', '3287 days']
['57663', 'Yearly', '12784 days']
['57665', 'One-off', '12912 days']
['57664', 'Daily', '51 days']
['57667', 'One-off', '18044 days']
['57669', 'Yearly', '10958 days']
['57668', 'Monthly', '1979 days']
['52978', 'Daily', '33 days']
['52102', 'Yearly', '14610 days']
['52100', 'Yearly', '12784 days']
['52106', 'One-off', '16446 days']
['52105', 'Monthly', '2131 days']
['52108', 'One-off', '16166 days']
['22724', 'Monthly', '1553 days']
['29658', 'Monthly', '1188 days']
['21930', 'Monthly', '822 days']
['21938', 'Monthly', '1338 days']
['21939', 'Monthly', '1430 days']
['57085', 'Monthly', '2252 days']
['57087', 'Yearly', '2191 days']
['57083', 'Monthly', '2222 days']
['57089', 'Daily', '52 days']
['57088', 'Daily', '23 days']
['55837', 'Monthly', '183 days']
['55834', 'Monthly', '1858 days']
['15708', 'Monthly', '1066 days']
['15709', 'Monthly', '1157 days']
['6811', 'Yearly', '8401 days']
['15702', 'One-off', '11518 days']
['15704', 'Daily', '10 days']
['15707', 'Daily', '33 days']
['9757', 'Monthly', '2284 days']
['9756', 'Monthly', '1279 days']
['9753', 'Monthly', '2131 days']
['9750', 'Monthly', '731 days']
['9759', 'Monthly', '2192 days']
['9758', 'Yearly', '4383 days']
['24147', 'Monthly', '853 days']
['24144', 'Daily', '54 days']
['24145', 'Yearly', '4748 days']
['37300', 'Yearly', '2192 days']
['24143', 'Yearly', '11688 days']
['24140', 'Yearly', '2922 days']
['24141', 'One-off', '14353 days']
['37309', 'Monthly', '1705 days']
['33759', 'Monthly', '1461 days']
['11848', 'Monthly', '2010 days']
['11846', 'Yearly', '10592 days']
['11842', 'Daily', '10 days']
['18537', 'Yearly', '9862 days']
['52468', 'Monthly', '883 days']
['30334', 'Monthly', '273 days']
['30226', 'One-off', '10621 days']
['30336', 'One-off', '11329 days']
['30331', 'Yearly', '10958 days']
['30333', 'Daily', '5 days']
['30338', 'Yearly', '6574 days']
['7564', 'One-off', '15017 days']
['15165', 'Yearly', '2191 days']
['52460', 'One-off', '11277 days']
['52461', 'Daily', '3 days']
['44801', 'Daily', '22 days']
['52464', 'Daily', '37 days']
['52465', 'One-off', '13990 days']
['52466', 'Daily', '51 days']
['35218', 'Yearly', '9862 days']
['35215', 'Daily', '32 days']
['35216', 'Daily', '9 days']
['35217', 'Daily', '51 days']
['35210', 'Monthly', '2740 days']
['35211', 'One-off', '10025 days']
['35212', 'Monthly', '2587 days']
['35213', 'Monthly', '2526 days']
['23267', 'Yearly', '6209 days']
['23264', 'Monthly', '2710 days']
['53738', 'Daily', '48 days']
['23262', 'Daily', '51 days']
['23263', 'Yearly', '6575 days']
['23261', 'Monthly', '1430 days']
['24587', 'Monthly', '823 days']
['9254', 'Monthly', '1614 days']
['43859', 'Yearly', '10957 days']
['9255', 'Daily', '21 days']
['10255', 'Daily', '26 days']
['43853', 'Monthly', '396 days']
['43852', 'Monthly', '457 days']
['43857', 'Monthly', '731 days']
['53735', 'Daily', '46 days']
['6779', 'One-off', '14185 days']
['6776', 'Daily', '45 days']
['6777', 'Yearly', '5479 days']
['6770', 'Monthly', '2435 days']
['6773', 'Daily', '6 days']
['24589', 'Monthly', '2343 days']
['21617', 'One-off', '9489 days']
['55201', 'Monthly', '1948 days']
['32607', 'Daily', '36 days']
['32605', 'Monthly', '1673 days']
['42810', 'Daily', '3 days']
['42813', 'Monthly', '1278 days']
['42815', 'Monthly', '1552 days']
['42817', 'Monthly', '792 days']
['42819', 'Yearly', '1826 days']
['5059', 'Yearly', '11688 days']
['5054', 'Daily', '33 days']
['5055', 'One-off', '17330 days']
['38561', 'Monthly', '2374 days']
['38563', 'Daily', '31 days']
['38565', 'Monthly', '1491 days']
['38567', 'One-off', '15982 days']
['38566', 'Daily', '18 days']
['18893', 'Yearly', '8766 days']
['18890', 'Yearly', '5844 days']
['18895', 'Monthly', '2616 days']
['18894', 'Monthly', '120 days']
['18898', 'Monthly', '2527 days']
['44221', 'Daily', '27 days']
['44223', 'Yearly', '14245 days']
['44222', 'Monthly', '2708 days']
['36178', 'Daily', '53 days']
['44227', 'One-off', '17891 days']
['44226', 'One-off', '15902 days']
['44228', 'Daily', '5 days']
['36176', 'Yearly', '5844 days']
['36171', 'Monthly', '426 days']
['36173', 'Yearly', '6209 days']
['18769', 'One-off', '18005 days']
['18768', 'Yearly', '2557 days']
['33524', 'Yearly', '2557 days']
['33525', 'One-off', '14109 days']
['33526', 'Daily', '55 days']
['33520', 'One-off', '10785 days']
['33521', 'Monthly', '1980 days']
['33522', 'Yearly', '4018 days']
['41542', 'Yearly', '6575 days']
['41546', 'Yearly', '8401 days']
['41544', 'One-off', '12987 days']
['41549', 'Yearly', '8766 days']
['41548', 'Yearly', '5478 days']
['8037', 'Monthly', '1553 days']
['8036', 'Daily', '27 days']
['8031', 'Monthly', '457 days']
['8033', 'Daily', '27 days']
['8032', 'Daily', '55 days']
['8039', 'Daily', '46 days']
['46860', 'Monthly', '1308 days']
['12583', 'Daily', '40 days']
['12582', 'Yearly', '5479 days']
['12581', 'Daily', '4 days']
['12580', 'Yearly', '3653 days']
['12585', 'Daily', '35 days']
['44913', 'Monthly', '397 days']
['44910', 'Monthly', '365 days']
['44915', 'Daily', '37 days']
['44914', 'Monthly', '1764 days']
['52385', 'Monthly', '1004 days']
['18342', 'Daily', '13 days']
['13988', 'Yearly', '15706 days']
['13989', 'One-off', '11313 days']
['13985', 'Daily', '20 days']
['13986', 'Yearly', '9131 days']
['13987', 'Yearly', '7670 days']
['13982', 'One-off', '15178 days']
['13983', 'Yearly', '9131 days']
['18340', 'Yearly', '9862 days']
['13678', 'Yearly', '4749 days']
['13679', 'Yearly', '2191 days']
['38972', 'One-off', '17037 days']
['13670', 'Monthly', '580 days']
['13671', 'Monthly', '1369 days']
['43332', 'Monthly', '2071 days']
['13674', 'Daily', '17 days']
['13675', 'Yearly', '9497 days']
['16003', 'Monthly', '1005 days']
['16000', 'Yearly', '9131 days']
['5868', 'Monthly', '274 days']
['16004', 'Daily', '30 days']
['16005', 'Yearly', '12053 days']
['5865', 'Monthly', '1764 days']
['5864', 'Daily', '55 days']
['5867', 'One-off', '10860 days']
['16009', 'Monthly', '1492 days']
['5861', 'Daily', '37 days']
['5860', 'Monthly', '1034 days']
['5863', 'Yearly', '11688 days']
['5862', 'Daily', '29 days']
['56842', 'One-off', '15985 days']
['56843', 'Daily', '44 days']
['56840', 'Yearly', '5844 days']
['56841', 'One-off', '16086 days']
['17359', 'Yearly', '13880 days']
['52348', 'Yearly', '4017 days']
['56845', 'Yearly', '1095 days']
['52345', 'Monthly', '2434 days']
['52344', 'One-off', '11546 days']
['56848', 'Monthly', '2010 days']
['52346', 'Monthly', '304 days']
['17350', 'Monthly', '731 days']
['17353', 'Yearly', '2557 days']
['52342', 'Yearly', '4383 days']
['5720', 'Yearly', '5114 days']
['54143', 'Daily', '27 days']
['19588', 'Daily', '13 days']
['19584', 'Monthly', '1461 days']
['19585', 'Daily', '5 days']
['19580', 'One-off', '13539 days']
['19581', 'Monthly', '184 days']
['20869', 'Monthly', '609 days']
['20868', 'One-off', '10316 days']
['20865', 'Daily', '45 days']
['52690', 'Monthly', '2131 days']
['52696', 'Monthly', '669 days']
['52695', 'Monthly', '822 days']
['20862', 'Daily', '23 days']
['16114', 'Yearly', '8400 days']
['51926', 'Daily', '54 days']
['49158', 'Daily', '3 days']
['49159', 'Yearly', '15706 days']
['51927', 'One-off', '11345 days']
['49150', 'Monthly', '608 days']
['16110', 'Daily', '15 days']
['49153', 'Daily', '16 days']
['49154', 'Yearly', '8766 days']
['49156', 'Daily', '37 days']
['49157', 'Yearly', '10227 days']
['45638', 'Daily', '7 days']
['5931', 'One-off', '10352 days']
['48203', 'Monthly', '2130 days']
['45630', 'Yearly', '1461 days']
['48201', 'Monthly', '761 days']
['45635', 'One-off', '12166 days']
['48206', 'One-off', '10164 days']
['48205', 'Daily', '4 days']
['45636', 'One-off', '17442 days']
['9193', 'Daily', '53 days']
['7947', 'Yearly', '13149 days']
['7940', 'Yearly', '4748 days']
['9194', 'Monthly', '1096 days']
['7942', 'Yearly', '12054 days']
['7943', 'Daily', '36 days']
['9199', 'Daily', '5 days']
['9198', 'Monthly', '1523 days']
['42173', 'One-off', '17845 days']
['16917', 'One-off', '16381 days']
['16910', 'Daily', '5 days']
['16911', 'One-off', '16561 days']
['42179', 'One-off', '13496 days']
['42178', 'Daily', '30 days']
['12208', 'Daily', '42 days']
['12206', 'Monthly', '1157 days']
['12200', 'Yearly', '3652 days']
['29358', 'Monthly', '1186 days']
['10512', 'Daily', '25 days']
['10513', 'Yearly', '2922 days']
['10510', 'Daily', '22 days']
['29353', 'Monthly', '304 days']
['10516', 'Daily', '47 days']
['10517', 'Monthly', '1310 days']
['53564', 'Yearly', '10592 days']
['29357', 'One-off', '17266 days']
['8867', 'Daily', '44 days']
['54693', 'Monthly', '670 days']
['54692', 'Monthly', '89 days']
['8862', 'Monthly', '2039 days']
['21409', 'Monthly', '1461 days']
['54697', 'Daily', '4 days']
['8861', 'Monthly', '2039 days']
['21404', 'One-off', '9275 days']
['21405', 'Monthly', '821 days']
['21407', 'Yearly', '10227 days']
['21401', 'Yearly', '4018 days']
['8868', 'Yearly', '13514 days']
['8869', 'One-off', '15831 days']
['26834', 'Monthly', '92 days']
['26835', 'Daily', '40 days']
['26837', 'Daily', '35 days']
['26830', 'One-off', '15739 days']
['26831', 'One-off', '10838 days']
['26832', 'Monthly', '1888 days']
['26833', 'Daily', '29 days']
['26838', 'Daily', '27 days']
['37435', 'Yearly', '10957 days']
['54034', 'Daily', '21 days']
['54037', 'Daily', '51 days']
['54031', 'Monthly', '1706 days']
['24578', 'Yearly', '7305 days']
['54039', 'Monthly', '668 days']
['54038', 'Monthly', '1766 days']
['28408', 'Daily', '42 days']
['28402', 'Monthly', '365 days']
['28400', 'One-off', '12645 days']
['28407', 'Yearly', '8766 days']
['28405', 'Monthly', '1979 days']
['28404', 'Yearly', '7670 days']
['37433', 'Monthly', '2283 days']
['34327', 'Monthly', '1795 days']
['34324', 'Yearly', '3287 days']
['34323', 'One-off', '10965 days']
['34321', 'Daily', '20 days']
['34320', 'Daily', '23 days']
['35054', 'Monthly', '1705 days']
['35055', 'Yearly', '10227 days']
['35052', 'Monthly', '548 days']
['35053', 'Daily', '15 days']
['35050', 'One-off', '16838 days']
['55128', 'Yearly', '2922 days']
['55120', 'Monthly', '2011 days']
['55121', 'One-off', '12873 days']
['55123', 'Daily', '4 days']
['23719', 'Daily', '42 days']
['23716', 'Monthly', '427 days']
['23717', 'Yearly', '2192 days']
['23714', 'Monthly', '1645 days']
['23715', 'One-off', '14744 days']
['23712', 'Daily', '5 days']
['23713', 'One-off', '17973 days']
['52627', 'Yearly', '3287 days']
['27007', 'Yearly', '11323 days']
['32589', 'Monthly', '1065 days']
['55788', 'Daily', '49 days']
['55784', 'Monthly', '944 days']
['32580', 'Monthly', '1400 days']
['32583', 'Daily', '30 days']
['32582', 'Yearly', '9131 days']
['32585', 'Yearly', '9862 days']
['32584', 'Yearly', '3287 days']
['32587', 'Yearly', '10592 days']
['32586', 'Yearly', '1096 days']
['9942', 'Yearly', '10957 days']
['35585', 'Monthly', '2404 days']
['56479', 'Daily', '21 days']
['35587', 'Yearly', '11688 days']
['9947', 'Monthly', '1736 days']
['35582', 'Yearly', '2191 days']
['35583', 'Yearly', '4748 days']
['56473', 'Yearly', '5844 days']
['56471', 'Monthly', '2404 days']
['56477', 'Daily', '38 days']
['56476', 'Daily', '23 days']
['32057', 'Monthly', '1765 days']
['32056', 'Monthly', '396 days']
['57788', 'Monthly', '2192 days']
['32054', 'Yearly', '14245 days']
['32053', 'One-off', '13297 days']
['32052', 'One-off', '17648 days']
['57783', 'Yearly', '6939 days']
['57780', 'One-off', '9377 days']
['57781', 'Yearly', '12418 days']
['32059', 'Monthly', '670 days']
['32058', 'Yearly', '9862 days']
['55878', 'Monthly', '670 days']
['55879', 'Yearly', '4383 days']
['52789', 'Yearly', '5479 days']
['55871', 'Monthly', '2223 days']
['55875', 'One-off', '15952 days']
['56780', 'Yearly', '8401 days']
['56783', 'Monthly', '607 days']
['56785', 'Monthly', '184 days']
['56784', 'Yearly', '7305 days']
['56786', 'One-off', '13404 days']
['56789', 'One-off', '10844 days']
['52785', 'One-off', '14323 days']
['25716', 'One-off', '12402 days']
['25712', 'Monthly', '943 days']
['25713', 'Yearly', '8401 days']
['25718', 'Daily', '39 days']
['21875', 'Monthly', '2101 days']
['17796', 'One-off', '18076 days']
['21871', 'Monthly', '2163 days']
['21870', 'One-off', '13834 days']
['52781', 'Daily', '33 days']
['52783', 'Yearly', '3653 days']
['26065', 'Monthly', '2679 days']
['26064', 'Daily', '17 days']
['26063', 'Monthly', '700 days']
['26061', 'Monthly', '1064 days']
['26060', 'Monthly', '2283 days']
['26069', 'Daily', '38 days']
['53953', 'Yearly', '4383 days']
['57431', 'Monthly', '1006 days']
['53951', 'One-off', '13872 days']
['57433', 'Daily', '27 days']
['53957', 'Yearly', '9131 days']
['57435', 'Yearly', '6940 days']
['57436', 'Daily', '42 days']
['57437', 'One-off', '17131 days']
['36776', 'Monthly', '547 days']
['36777', 'Daily', '47 days']
['36774', 'Monthly', '2160 days']
['40963', 'Yearly', '3652 days']
['18568', 'Daily', '53 days']
['33729', 'Monthly', '730 days']
['18563', 'Daily', '41 days']
['33727', 'Monthly', '2099 days']
['33724', 'Monthly', '975 days']
['14663', 'One-off', '16995 days']
['14664', 'One-off', '16399 days']
['14665', 'Monthly', '2465 days']
['18565', 'Yearly', '9861 days']
['14667', 'Yearly', '5478 days']
['38609', 'Monthly', '336 days']
['38600', 'Monthly', '2192 days']
['38605', 'Monthly', '2160 days']
['38606', 'Monthly', '2314 days']
['38607', 'Daily', '54 days']
['40969', 'Monthly', '2007 days']
['27828', 'Daily', '52 days']
['14833', 'Yearly', '4748 days']
['27825', 'Monthly', '488 days']
['27826', 'Yearly', '3287 days']
['27820', 'Monthly', '731 days']
['27821', 'Yearly', '4749 days']
['27822', 'One-off', '11968 days']
['27823', 'Yearly', '1826 days']
['46235', 'Daily', '52 days']
['46237', 'Monthly', '181 days']
['15138', 'Monthly', '2344 days']
['15133', 'Yearly', '7670 days']
['15131', 'One-off', '12006 days']
['31765', 'Yearly', '7305 days']
['39559', 'Yearly', '1826 days']
['39558', 'Monthly', '457 days']
['31763', 'Yearly', '14975 days']
['39553', 'Yearly', '13149 days']
['31768', 'Yearly', '6575 days']
['31769', 'One-off', '12188 days']
['39555', 'Daily', '42 days']
['39554', 'Monthly', '426 days']
['33894', 'Monthly', '700 days']
['33897', 'Daily', '35 days']
['33898', 'Monthly', '2526 days']
['33899', 'One-off', '17949 days']
['34046', 'Daily', '27 days']
['34044', 'Monthly', '2557 days']
['34042', 'One-off', '13631 days']
['34041', 'Yearly', '5113 days']
['34049', 'Daily', '20 days']
['31492', 'Yearly', '13880 days']
['31493', 'Monthly', '2070 days']
['31491', 'One-off', '11119 days']
['31497', 'Monthly', '486 days']
['31494', 'Monthly', '1005 days']
['47250', 'Monthly', '943 days']
['47253', 'One-off', '9050 days']
['47252', 'Yearly', '17532 days']
['47255', 'Monthly', '365 days']
['47254', 'Yearly', '1096 days']
['47257', 'Daily', '10 days']
['47256', 'Yearly', '2557 days']
['47259', 'Monthly', '1553 days']
['4760', 'Daily', '40 days']
['4762', 'Daily', '53 days']
['4764', 'One-off', '13373 days']
['4767', 'Yearly', '2192 days']
['4766', 'Daily', '39 days']
['4768', 'Monthly', '1704 days']
['19748', 'Daily', '37 days']
['19740', 'Monthly', '973 days']
['19742', 'Monthly', '2585 days']
['19743', 'Daily', '4 days']
['19744', 'Monthly', '365 days']
['19746', 'Monthly', '578 days']
['16184', 'Monthly', '122 days']
['42373', 'One-off', '13920 days']
['42372', 'Monthly', '1400 days']
['42378', 'Yearly', '12784 days']
['10354', 'One-off', '13291 days']
['10355', 'Daily', '35 days']
['10356', 'One-off', '17096 days']
['10350', 'Monthly', '1522 days']
['10352', 'Daily', '7 days']
['10358', 'Monthly', '2100 days']
['46306', 'Daily', '39 days']
['6253', 'Yearly', '8766 days']
['6252', 'Monthly', '2710 days']
['6251', 'Yearly', '4018 days']
['12319', 'Monthly', '854 days']
['6256', 'Daily', '4 days']
['6254', 'Yearly', '15341 days']
['42995', 'Daily', '10 days']
['42996', 'Monthly', '92 days']
['42991', 'Yearly', '1826 days']
['42990', 'Monthly', '1673 days']
['42993', 'Monthly', '1795 days']
['42999', 'Monthly', '1308 days']
['12839', 'Daily', '13 days']
['45340', 'Daily', '15 days']
['45343', 'Daily', '48 days']
['45346', 'Monthly', '2131 days']
['45349', 'Daily', '16 days']
['45348', 'Monthly', '1431 days']
['56369', 'Yearly', '9132 days']
['56365', 'Monthly', '2252 days']
['56364', 'Monthly', '546 days']
['5245', 'Monthly', '120 days']
['5247', 'Monthly', '1765 days']
['5246', 'Yearly', '2192 days']
['5241', 'One-off', '10518 days']
['5243', 'Yearly', '6575 days']
['5242', 'Daily', '5 days']
['40268', 'Monthly', '913 days']
['40263', 'Yearly', '4383 days']
['40265', 'Daily', '23 days']
['40267', 'Monthly', '397 days']
['40266', 'Monthly', '2100 days']
['14309', 'Monthly', '942 days']
['53436', 'Daily', '31 days']
['45964', 'Monthly', '1734 days']
['45962', 'Monthly', '2313 days']
['17966', 'Monthly', '883 days']
['17967', 'Yearly', '1461 days']
['17965', 'One-off', '9267 days']
['17962', 'Monthly', '276 days']
['17963', 'Yearly', '13149 days']
['17960', 'Yearly', '1826 days']
['17961', 'Monthly', '883 days']
['57014', 'Monthly', '1461 days']
['9451', 'Monthly', '2342 days']
['12480', 'Yearly', '2192 days']
['48874', 'Yearly', '6940 days']
['48876', 'Daily', '12 days']
['48877', 'Daily', '50 days']
['48870', 'Yearly', '11688 days']
['48871', 'Daily', '16 days']
['48872', 'Yearly', '11688 days']
['48873', 'Monthly', '1033 days']
['48878', 'Yearly', '4749 days']
['12468', 'Monthly', '730 days']
['12469', 'Yearly', '8401 days']
['12464', 'Monthly', '1339 days']
['12466', 'Monthly', '90 days']
['12461', 'Yearly', '1096 days']
['7777', 'Daily', '42 days']
['7775', 'One-off', '13937 days']
['50847', 'Monthly', '761 days']
['7773', 'Yearly', '1461 days']
['7772', 'Yearly', '8401 days']
['7771', 'Daily', '33 days']
['7770', 'Daily', '51 days']
['50849', 'Monthly', '457 days']
['7778', 'One-off', '15669 days']
['12484', 'Monthly', '1034 days']
['19262', 'One-off', '13054 days']
['19260', 'Daily', '15 days']
['19267', 'One-off', '13517 days']
['52817', 'Monthly', '1887 days']
['19264', 'Monthly', '1431 days']
['19268', 'Monthly', '1673 days']
['42623', 'Monthly', '1126 days']
['46083', 'One-off', '10419 days']
['46082', 'Monthly', '2708 days']
['46080', 'Monthly', '365 days']
['46087', 'Monthly', '2373 days']
['46086', 'Yearly', '4749 days']
['46085', 'Yearly', '6939 days']
['49055', 'Yearly', '3288 days']
['49054', 'One-off', '16981 days']
['46088', 'Yearly', '8035 days']
['49053', 'Monthly', '2222 days']
['57232', 'Yearly', '2192 days']
['43108', 'Yearly', '8035 days']
['57230', 'Monthly', '2435 days']
['11475', 'Yearly', '6940 days']
['11472', 'Monthly', '1948 days']
['57237', 'Yearly', '8035 days']
['57234', 'Monthly', '2100 days']
['57235', 'Daily', '33 days']
['43100', 'Yearly', '2922 days']
['57238', 'Daily', '7 days']
['43107', 'Monthly', '1492 days']
['11479', 'One-off', '17119 days']
['46551', 'Yearly', '1461 days']
['46550', 'Monthly', '702 days']
['46553', 'One-off', '13559 days']
['46552', 'Yearly', '6210 days']
['46557', 'Yearly', '12053 days']
['46556', 'Daily', '48 days']
['52558', 'Daily', '5 days']
['17149', 'Monthly', '2619 days']
['17144', 'Monthly', '1310 days']
['52556', 'Daily', '32 days']
['52557', 'Monthly', '1919 days']
['17140', 'One-off', '14968 days']
['52552', 'One-off', '13793 days']
['17143', 'Yearly', '6940 days']
['9549', 'One-off', '11437 days']
['9546', 'One-off', '17058 days']
['9544', 'Yearly', '1461 days']
['9545', 'Monthly', '2738 days']
['9543', 'Daily', '32 days']
['9540', 'One-off', '14735 days']
['22944', 'Monthly', '2526 days']
['21368', 'One-off', '10201 days']
['27594', 'Monthly', '365 days']
['27596', 'Monthly', '2739 days']
['27597', 'Monthly', '761 days']
['27591', 'Yearly', '8035 days']
['21361', 'Monthly', '2192 days']
['48018', 'Daily', '6 days']
['48019', 'Daily', '55 days']
['48011', 'One-off', '12573 days']
['48016', 'Yearly', '2191 days']
['48014', 'Monthly', '1064 days']
['49232', 'One-off', '12301 days']
['29259', 'Yearly', '2557 days']
['29258', 'Monthly', '489 days']
['57904', 'Yearly', '1826 days']
['22948', 'One-off', '18053 days']
['57906', 'Daily', '32 days']
['57907', 'Monthly', '2527 days']
['57900', 'One-off', '13449 days']
['57903', 'Monthly', '488 days']
['27799', 'Yearly', '4383 days']
['49236', 'Monthly', '610 days']
['34280', 'Monthly', '2648 days']
['34281', 'Monthly', '760 days']
['34282', 'Monthly', '2557 days']
['34283', 'Daily', '16 days']
['34284', 'One-off', '9491 days']
['34285', 'Yearly', '12419 days']
['34286', 'Monthly', '2679 days']
['34287', 'One-off', '10707 days']
['34289', 'Daily', '25 days']
['37888', 'Daily', '12 days']
['37887', 'One-off', '12352 days']
['37885', 'Daily', '22 days']
['37884', 'Monthly', '212 days']
['37883', 'Monthly', '2495 days']
['37882', 'Yearly', '6574 days']
['37881', 'Monthly', '2465 days']
['26646', 'Yearly', '10958 days']
['26644', 'Yearly', '1826 days']
['26643', 'Monthly', '397 days']
['26641', 'Yearly', '11323 days']
['26640', 'One-off', '9105 days']
['26649', 'Monthly', '366 days']
['50309', 'Daily', '34 days']
['50303', 'Yearly', '9861 days']
['50302', 'Yearly', '1826 days']
['50301', 'Yearly', '8035 days']
